"Date","Price","Open","High","Low","Vol.","Change %"
"04/13/2022","284,017","282,480","284,650","281,877","","0.60%"
"04/12/2022","282,331","280,676","284,180","279,994","","0.65%"
"04/11/2022","280,513","279,639","282,925","278,707","","0.34%"
"04/08/2022","279,565","277,345","279,827","276,812","","0.82%"
"04/07/2022","277,292","276,435","278,279","275,733","","0.35%"
"04/06/2022","276,335","275,983","277,613","274,951","","0.18%"
"04/05/2022","275,839","277,422","279,001","275,129","","-0.54%"
"04/04/2022","277,337","276,567","278,054","275,168","","0.33%"
"04/01/2022","276,435","278,348","278,705","275,505","","-0.63%"
"03/31/2022","278,177","277,210","280,183","275,537","","0.40%"
"03/30/2022","277,076","275,721","278,043","274,950","","0.53%"
"03/29/2022","275,610","276,162","277,111","271,484","","-0.15%"
"03/28/2022","276,022","280,904","280,992","275,305","","-1.68%"
"03/25/2022","280,747","280,936","281,749","278,724","","-0.01%"
"03/24/2022","280,768","278,922","282,129","278,054","","0.70%"
"03/23/2022","278,810","275,888","279,548","274,918","","1.09%"
"03/22/2022","275,806","277,629","278,400","274,337","","-0.61%"
"03/21/2022","277,511","275,679","278,296","275,062","","0.75%"
"03/18/2022","275,441","277,877","278,394","275,060","","-0.83%"
"03/17/2022","277,747","275,703","278,913","275,276","","0.78%"
"03/16/2022","275,609","274,849","276,203","271,244","","0.35%"
"03/15/2022","274,652","279,575","280,194","273,234","","-1.70%"
"03/14/2022","279,391","283,975","284,667","279,466","","-1.59%"
"03/11/2022","283,896","285,127","285,701","280,157","","-0.36%"
"03/10/2022","284,928","285,869","286,967","281,442","","-0.24%"
"03/09/2022","285,608","295,151","296,181","283,549","","-3.20%"
"03/08/2022","295,047","287,853","298,071","285,413","","2.55%"
"03/07/2022","287,724","284,455","288,568","282,497","","1.61%"
"03/04/2022","283,162","278,518","283,549","277,627","","1.70%"
"03/03/2022","278,435","277,460","279,310","276,470","","0.39%"
"03/02/2022","277,341","278,891","280,274","275,332","","-0.52%"
"03/01/2022","278,786","274,229","279,637","272,828","","1.70%"
"02/28/2022","274,126","275,971","277,191","271,621","","1.10%"
"02/25/2022","271,148","273,823","276,366","270,546","","-0.92%"
"02/24/2022","273,664","273,652","283,980","270,254","","0.03%"
"02/23/2022","273,583","272,654","273,990","270,868","","0.38%"
"02/22/2022","272,556","273,133","275,058","271,636","","-0.18%"
"02/21/2022","273,038","272,289","273,432","270,387","","0.43%"
"02/18/2022","271,870","271,767","272,439","270,248","","0.07%"
"02/17/2022","271,693","266,564","272,257","266,292","","1.97%"
"02/16/2022","266,453","265,132","267,065","263,926","","0.55%"
"02/15/2022","265,006","268,136","268,957","263,776","","-1.12%"
"02/14/2022","268,019","267,160","268,555","265,193","","0.42%"
"02/11/2022","266,904","262,009","267,745","261,494","","1.93%"
"02/10/2022","261,862","263,194","264,240","261,244","","-0.46%"
"02/09/2022","263,083","262,785","263,654","261,973","","0.15%"
"02/08/2022","262,688","262,095","263,252","261,222","","0.26%"
"02/07/2022","262,002","259,845","262,600","259,839","","0.82%"
"02/04/2022","259,881","259,484","261,060","257,699","","0.20%"
"02/03/2022","259,367","259,417","260,134","257,126","","0.02%"
"02/02/2022","259,307","259,041","260,090","257,527","","0.14%"
"02/01/2022","258,940","258,569","260,193","258,176","","0.22%"
"01/31/2022","258,375","257,708","258,909","255,471","","0.29%"
"01/28/2022","257,640","258,574","258,949","256,080","","-0.32%"
"01/27/2022","258,468","261,106","261,592","257,650","","-0.98%"
"01/26/2022","261,032","265,211","265,548","260,483","","-1.55%"
"01/25/2022","265,129","264,344","266,056","263,280","","0.33%"
"01/24/2022","264,245","263,021","264,552","262,338","","0.55%"
"01/21/2022","262,795","263,725","264,422","262,095","","-0.31%"
"01/20/2022","263,619","264,331","265,009","263,189","","-0.21%"
"01/19/2022","264,165","260,056","264,805","259,582","","1.63%"
"01/18/2022","259,935","260,546","261,039","258,868","","-0.17%"
"01/17/2022","260,388","259,904","261,114","259,157","","0.24%"
"01/14/2022","259,771","260,523","261,721","259,366","","-0.24%"
"01/13/2022","260,387","261,480","261,605","258,956","","-0.38%"
"01/12/2022","261,379","260,531","261,772","259,718","","0.36%"
"01/11/2022","260,430","257,756","260,785","257,497","","1.08%"
"01/10/2022","257,656","257,775","257,985","256,165","","-0.04%"
"01/07/2022","257,763","257,781","258,320","255,941","","0.06%"
"01/06/2022","257,610","259,910","260,699","257,054","","-0.83%"
"01/05/2022","259,767","259,534","262,717","259,186","","0.15%"
"01/04/2022","259,372","256,966","259,852","256,918","","0.99%"
"01/03/2022","256,822","260,840","261,114","256,493","","-1.43%"
"12/31/2021","260,546","258,947","260,903","258,551","","0.65%"
"12/30/2021","258,854","257,171","259,304","256,230","","0.70%"
"12/29/2021","257,054","256,979","258,021","254,969","","0.06%"
"12/28/2021","256,891","257,810","259,040","256,717","","-0.31%"
"12/27/2021","257,699","257,143","258,038","256,488","","0.23%"
"12/24/2021","257,114","257,683","260,242","256,207","","-0.20%"
"12/23/2021","257,627","257,686","258,268","256,313","","0.03%"
"12/22/2021","257,543","256,067","257,908","254,567","","0.64%"
"12/21/2021","255,915","257,450","257,914","255,445","","-0.55%"
"12/20/2021","257,325","258,528","259,547","257,067","","-0.35%"
"12/17/2021","258,237","258,080","260,716","257,730","","0.10%"
"12/16/2021","257,975","254,695","258,155","254,464","","1.37%"
"12/15/2021","254,486","253,773","255,267","251,369","","0.34%"
"12/14/2021","253,625","256,257","256,799","253,156","","-0.99%"
"12/13/2021","256,160","256,254","257,006","255,504","","0.01%"
"12/10/2021","256,147","254,779","257,192","254,311","","0.59%"
"12/09/2021","254,639","255,995","256,769","254,440","","-0.49%"
"12/08/2021","255,891","256,527","257,516","255,485","","-0.21%"
"12/07/2021","256,425","256,742","257,341","254,759","","-0.10%"
"12/06/2021","256,685","256,964","258,220","256,350","","-0.07%"
"12/03/2021","256,861","254,245","257,203","253,784","","1.05%"
"12/02/2021","254,202","255,566","256,218","253,285","","-0.49%"
"12/01/2021","255,461","254,211","257,418","253,790","","0.57%"
"11/30/2021","254,005","255,606","259,148","253,427","","-0.58%"
"11/29/2021","255,477","256,021","257,979","255,054","","-0.29%"
"11/26/2021","256,229","255,204","259,702","254,697","","0.43%"
"11/25/2021","255,122","255,029","256,457","254,618","","0.08%"
"11/24/2021","254,921","255,080","256,403","253,561","","-0.02%"
"11/23/2021","254,964","257,131","258,450","254,016","","-0.80%"
"11/22/2021","257,007","262,930","263,682","256,734","","-2.15%"
"11/19/2021","262,644","264,479","265,637","262,394","","-0.65%"
"11/18/2021","264,370","265,964","266,519","263,902","","-0.56%"
"11/17/2021","265,859","263,180","266,096","263,009","","1.06%"
"11/16/2021","263,083","264,753","266,994","262,978","","-0.58%"
"11/15/2021","264,617","265,940","265,947","263,563","","-0.26%"
"11/12/2021","265,309","265,596","266,017","262,614","","-0.06%"
"11/11/2021","265,477","263,561","266,189","262,920","","0.77%"
"11/10/2021","263,438","260,901","266,336","259,624","","1.02%"
"11/09/2021","260,776","260,063","261,077","258,931","","0.32%"
"11/08/2021","259,939","260,538","260,955","258,357","","-0.17%"
"11/05/2021","260,384","256,851","260,561","255,770","","1.44%"
"11/04/2021","256,695","253,005","257,968","252,785","","1.52%"
"11/03/2021","252,863","254,807","255,397","251,415","","-0.72%"
"11/02/2021","254,689","255,404","256,284","254,518","","-0.28%"
"11/01/2021","255,413","252,641","255,914","252,024","","1.14%"
"10/29/2021","252,535","254,934","255,317","251,006","","-0.89%"
"10/28/2021","254,804","254,663","256,592","254,020","","0.10%"
"10/27/2021","254,558","253,754","255,016","252,672","","0.36%"
"10/26/2021","253,636","255,939","256,039","252,195","","-0.85%"
"10/25/2021","255,808","253,358","256,276","253,071","","1.07%"
"10/22/2021","253,100","251,782","256,213","251,721","","0.57%"
"10/21/2021","251,659","250,853","252,774","250,679","","0.37%"
"10/20/2021","250,723","249,044","251,766","248,644","","0.72%"
"10/19/2021","248,932","248,999","251,322","248,648","","0.04%"
"10/18/2021","248,839","248,792","249,966","248,286","","0.07%"
"10/15/2021","248,653","253,514","253,675","248,334","","-1.87%"
"10/14/2021","253,398","254,923","255,111","252,499","","-0.56%"
"10/13/2021","254,831","250,235","255,390","249,928","","1.89%"
"10/12/2021","250,097","249,199","251,618","248,699","","0.41%"
"10/11/2021","249,069","249,938","250,510","248,586","","-0.26%"
"10/08/2021","249,730","249,549","253,388","249,219","","0.11%"
"10/07/2021","249,467","251,257","251,468","248,985","","-0.66%"
"10/06/2021","251,126","250,855","251,667","248,770","","0.17%"
"10/05/2021","250,695","252,438","252,664","249,223","","-0.64%"
"10/04/2021","252,311","252,119","252,673","249,269","","0.19%"
"10/01/2021","251,821","251,521","252,441","250,290","","0.20%"
"09/30/2021","251,325","246,869","252,548","246,413","","1.89%"
"09/29/2021","246,672","247,486","249,564","245,985","","-0.28%"
"09/28/2021","247,367","249,435","250,406","246,511","","-0.79%"
"09/27/2021","249,337","249,684","251,152","248,591","","-0.04%"
"09/24/2021","249,433","248,201","250,658","248,024","","0.52%"
"09/23/2021","248,131","251,828","253,033","247,513","","-1.42%"
"09/22/2021","251,705","252,637","254,585","251,358","","-0.31%"
"09/21/2021","252,499","251,301","253,722","250,384","","0.53%"
"09/20/2021","251,178","249,592","251,709","248,655","","0.69%"
"09/17/2021","249,462","249,938","251,574","248,565","","-0.11%"
"09/16/2021","249,730","255,467","255,862","248,712","","-2.18%"
"09/15/2021","255,308","257,045","257,465","254,980","","-0.67%"
"09/14/2021","257,017","255,654","257,737","253,875","","0.58%"
"09/13/2021","255,530","254,018","256,353","253,335","","0.68%"
"09/10/2021","253,800","255,768","256,667","253,830","","-0.72%"
"09/09/2021","255,644","254,999","256,715","254,241","","0.31%"
"09/08/2021","254,846","255,006","257,120","253,977","","-0.03%"
"09/07/2021","254,922","259,315","260,902","254,735","","-1.66%"
"09/06/2021","259,230","260,813","261,089","258,932","","-0.51%"
"09/03/2021","260,551","258,266","261,653","258,123","","0.94%"
"09/02/2021","258,114","259,092","259,422","257,544","","-0.34%"
"09/01/2021","258,995","258,826","259,972","258,219","","0.16%"
"08/31/2021","258,570","260,142","260,744","257,025","","-0.55%"
"08/30/2021","259,988","262,045","262,886","259,705","","-0.73%"
