"Date","Price","Open","High","Low","Vol.","Change %"
"10/14/2022","18.2569","18.8800","19.0850","18.0800","","-3.24%"
"10/13/2022","18.8679","19.0500","19.3450","18.4550","","-1.01%"
"10/12/2022","19.0600","19.1750","19.3200","18.8589","","-0.68%"
"10/11/2022","19.1900","19.6200","19.7350","19.0600","","-2.34%"
"10/10/2022","19.6500","20.1800","20.1922","19.5000","","-2.29%"
"10/07/2022","20.1100","20.6663","20.8350","19.9945","","-2.62%"
"10/06/2022","20.6500","20.6900","20.8803","20.3580","","-0.24%"
"10/05/2022","20.7000","21.0574","21.0800","19.9396","","-1.94%"
"10/04/2022","21.1100","20.6850","21.2550","20.6000","","1.71%"
"10/03/2022","20.7550","19.0200","20.7825","19.0000","","9.24%"
"09/30/2022","19.0000","18.8221","19.3050","18.7703","","0.98%"
"09/29/2022","18.8150","18.9052","18.9177","18.4800","","-0.40%"
"09/28/2022","18.8900","18.4013","18.9851","17.9600","","2.50%"
"09/27/2022","18.4300","18.3300","18.7971","18.3148","","0.52%"
"09/26/2022","18.3350","18.8900","19.0400","18.3200","","-2.67%"
"09/23/2022","18.8387","19.6350","19.7200","18.7650","","-4.13%"
"09/22/2022","19.6500","19.5860","19.8750","19.2395","","0.31%"
"09/21/2022","19.5900","19.2750","19.9250","19.2350","","1.45%"
"09/20/2022","19.3100","19.5700","19.6150","19.0531","","-1.53%"
"09/19/2022","19.6100","19.5500","19.6614","19.2200","","0.26%"
"09/16/2022","19.5600","19.1650","19.6650","18.7799","","2.09%"
"09/15/2022","19.1600","19.6200","19.6703","19.1050","","-2.69%"
"09/14/2022","19.6900","19.3400","19.7225","19.2304","","1.92%"
"09/13/2022","19.3200","19.8200","19.9750","19.3200","","-2.33%"
"09/12/2022","19.7800","18.8600","20.0271","18.8399","","5.33%"
"09/09/2022","18.7784","18.6400","18.9750","18.5150","","1.12%"
"09/08/2022","18.5700","18.4558","18.7550","18.3141","","0.32%"
